codedName;INCI_name;INN name;Ph. Eur. Name;CAS;EC_No;IUPAC_Name;Restriction;Function
L160;ALANINE;alanine;alaninum;56-41-7/302-72-7;200-273-8/206-126-4;Alanine;;Antistatic
L161;ALANINE  GLUTAMATE;;;13187-90-1;;Glutamic  acid,  compound with alanine;;Skin conditioning
L162;ALANINE/HISTIDINE/ LYSINE POLYPEPTIDE COPPER HCL;;;;;Polymer derived from alanine, histidine and lysine, copper derivative, hydrochloride;;Skin conditioning
L163;ALBUMEN;;;9006-50-2;310-127-6;Naturally occurring substances, egg  white;;Film forming
L164;ALCHEMILLA VULGARIS EXTRACT;;;84695-94-3;283-614-3;Alchemilla Vulgaris Extract is an extract of the leaves and aerial parts of the lady's mantle, Alchemilla vulgaris, Rosaceae;;Skin conditioning/cleansing/astrin- gent
L165;ALCLOXA;alcloxa;;1317-25-5;215-262-3;Aluminum, chloro[(2,5-dioxo-4-imidazolidinyl)ureato]tetra- hydroxydi-;;Antimicrobial/astringent
L166;ALCOHOL;alcohol;alcoholum/ethanolum;64-17-5;200-578-6;Ethanol;;Solvent
L167;ALCOHOL DENAT;;;;;Ethanol denatured in accordance with Customs and Excise regulations;;Solvent
L168;ALDIOXA;aldioxa;;5579-81-7;226-964-4;Aluminum,  [(2,5-dioxo-4-imidazolidinyl)ureato]dihydroxy-;;Antimicrobial/astringent
L169;ALEURITES MOLUCCANA EXTRACT;;;223747-70-4;;Aleurites Moluccana Extract is an extract of the nuts of the kukui,  Aleurites moluccana, Euphorbiaceae;;Emollient
L170;ALEURITES MOLUCCANA NUT OIL;;;8015-80-3;;Aleurites Moluccana Nut Oil is the oil expressed from the nuts of  the kukui tree, Aleurites moluccana,   Euphorbiaceae;;Skin conditioning
L171;ALEURITIC ACID;;;6949-98-0;;Hexadecanoic  acid,  9,10,16-trihydroxy-;;Skin conditioning
L172;ALGAE;;;;;;;Tonic/refreshing/soothing/humec- tant
L173;ALGIN;sodium alginate;natrii alginas;9005-38-3;;Alginic acid, sodium salt;;Binding/viscosity controlling
L174;ALGINIC ACID;alginic acid;acidum alginicum;9005-32-7;232-680-1;Alginic acid;;Binding/viscosity controlling
L175;ALKANNA TINCTORIA EXTRACT;;;85251-58-7;286-469-4;Alkanna Tinctoria Extract is an extract of the roots of the alkanet, Alkanna tinctoria,  Boraginaceae;;Tonic
L176;ALLANTOIN;allantoin;;97-59-6;202-592-8;Urea, (2,5-dioxo-4-imidazolidinyl)-;;Soothing
L177;ALLANTOIN ACETYL METHIONINE;;;4207-40-3;224-126-2;N-acetyl-DL-methionine, compound with (2,5-dioxo-4-imi- dazolidine)urea (1: 1);;Antistatic/skin protecting/soothing
L178;ALLANTOIN ASCORBATE;;;57448-83-6;260-739-1;(2,5-dioxoimidazolidin-4-yl)urea L-ascorbate;;Antioxidant/soothing/skin protect- ing
L179;ALLANTOIN BIOTIN;;;4492-73-3;;Urea, (2,5-dioxo-4-imidazolydinyl)-, compound with 2H- thieno[3,4-d]imidazole-4-pentanoic acid, hexahydro-2-oxo-, [3as-(3aalpha,4b,6aalpha)]-;;Soothing/antiseborrhoeic/skin pro- tecting
L180;ALLANTOIN CALCIUM PANTOTHENATE;;;4207-41-4;;beta.-Alanine, N-(2,4-dihydroxy-3,3-dimethyl-1-oxobutyl)-, calcium salt (2: 1), (R)-, compound with 2,5-dioxo-4- imidazolydinyl urea;;Soothing/skin protecting
L181;ALLANTOIN GALAC- TURONIC ACID;;;5119-24-4;;Urea, (2,5-dioxo-4-imidazolydinyl)-, compound with galac- turonic acid;;Soothing/skin protecting
L182;ALLANTOIN GLYCYRRHE- TINIC ACID;;;976175;;Olean-12-en-29-oic acid, 3-hydroxy-11-oxo-, (3.beta., 20. beta.)-, compound with  (2,5-dioxo-4-imidazolydinyl)urea (1: 1);;Skin  protecting/soothing
L183;ALLANTOIN PABA;;;4207-42-5;;Urea, (2,5-dioxo-4-imidazolydinyl)-, compound with 4- aminobenzoic  acid  (1: 1);;Uv absorber
L184;ALLANTOIN POLYGALAC- TURONIC ACID;;;29659-38-9;;D-Polygalacturonic acid, compound with (2,5-dioxo-4- imidazolydinyl)-urea;;Skin  protecting/soothing
L185;ALLIUM  CEPA EXTRACT;;;8054-39-5;232-498-2;Allium Cepa Extract is an extract of the bulbs of the onion, Allium cepa, Liliaceae;;Antidandruff
L186;ALLIUM SATIVUM EXTRACT;;;8008-99-9;232-371-1;Allium Sativum Extract is an extract of the bulb of the garlic, Allium sativum, Liliaceae;;Antimicrobial
L187;ALLYL CAPROATE;;;123-68-2;204-642-4;Allyl hexanoate;;Emollient
L188;ALLYL METHACRYLATES CROSSPOLYMER;;;182212-41-5;;2-Propenoic acid, 2-methyl-, 1,2-ethenediyl ester, polymer with 2-propenyl 2-methyl-2-propenoate;;Emulsion stabilising/opacifying/ viscosity controlling
L189;ALLYL STEARATE/VA COPOLYMER;;;56266-37-6;;Propenyl stearate, polymer  with  ethenyl acetate;;Film forming
L190;ALMOND OIL PEG-6 ESTERS;;;124046-50-0;;Oils, almond, ethoxylated, 6 mol   EO;;Emollient
L191;ALMONDAMIDE DEA;;;124046-18-0;;Almond amides, N,N-bis(2-hydroxyethyl)-;;Surfactant
L192;ALMONDAMIDOPRO- PALKONIUM  CHLORIDE;;;124046-03-3;;Almond alkyl amidopropyl dimethyl benzyl ammonium chloride;;Antistatic
L193;ALMONDAMIDOPROPYL BETAINE;;;165586-98-1;;Almondamidopropyl  dimethyl glycine;;Surfactant/foaming/cleansing
L194;ALMONDAMIDOPROPYL DIMETHYLAMINE;;;165586-99-2;;Amides,  almond, N-[3-(dimethylamino)-propyl]-;;Antistatic
L195;ALMONDAMIDOPROPY- LAMINE OXIDE;;;124046-20-4;;Amides,  almond,  N-[3-(dimethylamino)-propyl]-, N-oxide;;Surfactant/foaming/cleansing
L196;ALNUS FIRMIFOLIA EXTRACT;;;223747-71-5;;Alnus Firmifolia Extract is an extract of the strobile of Alnus firmifolia, Betulaceae;;Skin conditioning
L197;ALOE ARBORESCENS EXTRACT;;;223747-76-0;;Aloe Arborescens Extract is an extract of the leaves of Aloe arborescens, Liliaceae;;Moisturising/soothing
L198;ALOE  BARBADENSIS;;;;;Aloe Barbadensis is a plant material derived from the leaves of the aloe, Aloe barbadensis,  Liliaceae;;Emollient
L199;ALOE BARBADENSIS EXTRACT;;aloes extractum;85507-69-3;287-390-8;Aloe Barbadensis Extract is an extract of the leaves of the aloe, Aloe barbadensis, Liliaceae;;Emollient
L200;ALOE BARBADENSIS FLOWER EXTRACT;;;85507-69-3;287-390-8;Aloe Barbadensis Flower Extract is an extract of the flowers of the aloe, Aloe barbadensis,  Liliaceae;;Emollient
L201;ALOE BARBADENSIS GEL;;;;;Aloe Barbadensis Gel is the juice expressed from the leaves of the aloe, Aloe barbadensis,  Liliaceae;;Emollient
L202;ALOE FEROX EXTRACT;;;84649-82-1;283-462-8;Aloe Ferox Extract is an extract of the leaves of Aloe ferox, Liliaceae;;Moisturising/soothing
L203;ALPHA DAMASCONE;;;23726-94-5;245-845-8;(Z)-1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-2-buten-1-one;;Masking
L204;ALPHA-GLUCAN OLIGO- SACCHARIDE;;;27707-45-5;;Alpha-d-glucose  hompolymer;;Skin conditioning
L205;ALTHAEA OFFICINALIS;;;;;Althaea Officinalis is a plant material derived from the dried roots of the marsh mallow, Althaea officinalis,   Malvaceae;;Emollient
L206;ALTHAEA OFFICINALIS EXTRACT;;;73049-65-7;277-254-6;Althaea Officinalis Extract is an extract of the roots of the marshmallow, Althaea officinalis, Malvaceae;;Emollient
L207;ALTHAEA ROSEA POW- DER;;;90045-76-4;289-940-2;Althaea Rosea Powder is the dried, crushed flowers of the hollyhock, Althaea rosea, Malvaceae;;Skin  conditioning/moisturising
L208;ALUMINA;;aluminii oxidum;1344-28-1;215-691-6;Aluminium oxide;;Abrasive/opacifying/viscosity con- trolling
L209;ALUMINUM  ACETATE;aluminium acetate;;139-12-8;205-354-1;Acetic acid, aluminum salt (3:  1);;Antimicrobial
L210;ALUMINUM  BEHENATE;;;18990-72-2;242-726-2;Aluminium tridocosanoate;;Opacifying/viscosity controlling
L211;ALUMINUM  BENZOATE;;;555-32-8;209-091-3;Aluminium tribenzoate;;Antimicrobial
L212;ALUMINUM BROMOHY- DRATE;;;39431-98-6;254-448-9;Dialuminium bromide pentahydroxide;;Antiperspirant/deodorant/astrin- gent
L213;ALUMINUM  BUTOXIDE;;;2269-22-9;218-871-2;2-Butanol,  aluminium salt;;Stabilising
L214;ALUMINUM CAPRYLATE;;;6028-57-5;227-902-9;Aluminium trioctanoate;;Emulsion stabilising/opacifying/ viscosity controlling
L215;ALUMINUM CAPRYLOYL HYDROLYZED  COLLAGEN;;;165800-56-6;;Hydrolyzed collagen, product with caprylic acid, aluminum salt;;Antistatic/skin conditioning/hair conditioning
L216;ALUMINUM CHLORIDE;aluminium chloride;;7446-70-0;231-208-1;Aluminium chloride;;Antiperspirant/deodorant/astrin- gent
L217;ALUMINUM CHLOROHY- DRATE;;;12042-91-0;234-933-1;Dialuminium chloride pentahydroxide;;Antiperspirant/deodorant/astrin- gent
L218;ALUMINUM CHLOROHY- DREX PEG;;;242812-76-6;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, reaction products with aluminium chloride hydroxide (Al2Cl(OH)5);;Antiperspirant/astringent
L219;ALUMINUM CHLOROHY- DREX PG;;;245090-52-2;258-309-3;1,2-Propanediol, reaction products with aluminium chloride hydroxide (Al2Cl(OH)5);;Antiperspirant/astringent
L220;ALUMINUM  CITRATE;;;813-92-3;;1,2,3-Propanetricarboxylic acid, 2-hydroxy-, aluminium salt (1: 1);;Antiperspirant/deodorant/astrin- gent
L221;ALUMINUM DIACETATE;aluminium subace- tate;;142-03-0;205-518-2;Bis(acetato-O)hydroxyaluminium;;Antimicrobial
L222;ALUMINUM DICETYL PHOSPHATE;;;26527-54-8;;Phosphoric acid, bis(hexadecyl)ester, aluminium  salt;;Emulsion stabilising
L223;ALUMINUM DICHLORO- HYDRATE;;;;233-632-2;Aluminum hydroxide chloride  (Al2(OH)4Cl2);;Antiperspirant/deodorant/astrin- gent
L224;ALUMINUM DICHLORO- HYDRATE;;;10284-64-7;;Aluminum hydroxide chloride (Al: Cl 1:  1);;Antiperspirant/deodorant/astrin- gent
L225;ALUMINUM DICHLORO- HYDREX PEG;;;242812-79-9;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, reaction products with aluminium chloride hydroxide (AlCl (OH)2);;Antiperspirant/astringent
L226;ALUMINUM DICHLORO- HYDREX PG;;;245090-53-3;;1,2-Propanediol, reaction products with aluminium chloride hydroxide (AlCl(OH)2);;Antiperspirant/astringent
L227;ALUMINUM  DILINOLEATE;;;53202-37-2;;9,12-octadecadienoic acid (Z, Z)-, dimer, aluminum   salt;;Emulsion stabilising/opacifying/ viscosity controlling
L228;ALUMINUM DIMYRISTATE;;;56639-51-1;260-305-1;Hydroxybis(myristato-O)aluminium;;Emulsion stabilising/opacifying/ viscosity controlling
L229;ALUMINUM  DISTEARATE;;;300-92-5;206-101-8;Hydroxyaluminium distearate;;Emulsion stabilising/opacifying/ viscosity controlling
L230;ALUMINUM  FLUORIDE;;;7784-18-1;232-051-1;Aluminium  fluoride;III/1,34;Oral care/antiplaque
L231;ALUMINUM  FORMATE;;;7360-53-4;230-898-1;Aluminium triformate;;Antimicrobial
L232;ALUMINUM  GLYCINATE;dihydroxyalumi- nium aminoacetate;;13682-92-3;237-193-8;Dihydroxyaluminium glycinate;;Buffering
L233;ALUMINUM HYDROGE- NATED TALLOW GLUTA- MATE;;;;;L-Glutamic acid, N-(hydrogenated tallow-acyl) derivatives, aluminium salts;;Surfactant
L234;ALUMINUM  HYDROXIDE;aluminium hydro- xide;;21645-51-2;244-492-7;Aluminium hydroxide;;Emollient/humectant/viscosity con- trolling
L235;ALUMINUM ISOSTEA- RATE;;;72277-75-9;;Isostearic acid, aluminum  salt;;Emulsion stabilising/opacifying/ viscosity controlling
L236;ALUMINUM ISOSTEA- RATES/LAURATES/PALMI- TATES;;;;;Isostearic acid, lauric acid, palmitic acid, mixture, aluminum salt;;Emulsion stabilising/opacifying/ viscosity controlling
L237;ALUMINUM ISOSTEA- RATES/LAURATES/STEA- RATES;;;;;Isostearic, lauric, stearic acids mixture, aluminum   salt;;Emulsion stabilising/opacifying/ viscosity controlling
L238;ALUMINUM ISOSTEA- RATES/MYRISTATES;;;;;Isostearic acid, myristic acid, mixture, aluminum   salt;;Emulsion stabilising/opacifying/ viscosity controlling
L239;ALUMINUM ISOSTEA- RATES/PALMITATES;;;;;Isostearic acid, palmitic acid, mixture, aluminum   salt;;Emulsion stabilising/opacifying/ viscosity controlling
L240;ALUMINUM ISOSTEA- RATES/STEARATES;;;;;Isostearic acid, stearic acid, mixture, aluminum   salt;;Emulsion stabilising/opacifying/ viscosity controlling
L241;ALUMINUM  LACTATE;;;18917-91-4;242-670-9;Aluminium  trilactate;;Buffering/astringent
L242;ALUMINUM  LANOLATE;;;85005-39-6;284-972-3;Fatty acids, lanolin, aluminum  salts;;Emulsifying/surfactant
L243;ALUMINUM  METHIONATE;;;52667-15-9;258-085-7;Tris[.mu.-[methanedisulphonato(2-)]]dialuminium;;Viscosity controlling
L244;ALUMINUM MYRISTATE;;;4040-50-0;223-728-2;Tetradecanoic acid, aluminium  salt;;Anticaking/emulsion stabilizing
L245;ALUMINUM MYRISTATES/ PALMITATES;;;;;Myristic, palmitic acids, mixture, aluminum  salt;;Emulsion stabilising/opacifying/ viscosity controlling
L246;ALUMINUM PCA;;;59792-81-3;261-931-8;Tris(5-oxo-L-prolinato-N1,O2)aluminium;;Astringent
L247;ALUMINUM PHENOLSUL- FONATE;;;1300-35-2;215-083-0;Aluminium  tris(hydroxybenzenesulphonate);;Antimicrobial/deodorant
L248;ALUMINUM SESQUI- CHLOROHYDRATE;aluminium sesqui- chlorohydrate;;11089-92-2;234-310-4;Aluminum chloride hydroxide  (Al4Cl3(OH)9);;Antiperspirant/deodorant/astrin- gent
L249;ALUMINUM SESQUI- CHLOROHYDREX PEG;;;242812-86-8;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, reaction products with aluminium chloride hydroxide (Al2Cl1.5(OH)4.5);;Antiperspirant/astringent
L250;ALUMINUM SESQUI- CHLOROHYDREX PG;;;245090-60-2;;1,2-Propanediol, reaction products with aluminium chloride hydroxide (Al2Cl1.5(OH)4.5);;Antiperspirant/astringent
L251;ALUMINUM SILICATE;;;1327-36-2;215-475-1;Aluminatesilicate (CI 77004);;Abrasive/absorbent/opacifying
L252;ALUMINUM STARCH OCTENYLSUCCINATE;;;9087-61-0;;Starch,  hydrogen  octenylbutanedionate,  aluminum salt;;Absorbent/viscosity controlling/ anticaking
L253;ALUMINUM  STEARATE;aluminium mono- stearate;;7047-84-9;230-325-5;Dihydroxyaluminium  stearate;IV/1;Cosmetic  colorant/anticaking
L254;ALUMINUM  STEARATES;;;;;Aluminum distearate and aluminum tristearate;;Emollient/emulsion stabilising/opa- cifying/viscosity controlling
L255;ALUMINUM SULFATE;aluminium sulfate;aluminii sulfas;10043-01-3;233-135-0;Aluminium sulphate;;Antiperspirant/deodorant
L256;ALUMINUM  TRISTEARATE;;;637-12-7;211-279-5;Aluminium tristearate;;Emollient/emulsion stabilising/opa- cifying/viscosity controlling
L257;ALUMINUM UNDECYLE- NOYL COLLAGEN AMINO ACIDS;;;162260-09-5;;Collagens, hydrolyzates, reaction products with undecenoyl chloride,  aluminum salts;;Antistatic/skin conditioning/hair conditioning
L258;ALUMINUM ZIRCONIUM OCTACHLOROHYDRATE;;;98106-55-9;308-576-8;Octaaluminium zirconium octachloride icosahydroxide;III/1,50;Antiperspirant/deodorant/astrin- gent
L259;ALUMINUM ZIRCONIUM OCTACHLOROHYDREX GLY;;;174514-58-0;;Complex reaction product obtained from the reaction of aluminium zirconium octachlorohydrate (Al8Zr(OH)20Cl8. xH2O) and glycine;III/1,50;Antiperspirant/deodorant/astrin- gent
L260;ALUMINUM ZIRCONIUM PENTACHLOROHYDRATE;;;98106-54-8;308-575-2;Octaaluminium zirconium pentachloride tricosahydroxide;III/1,50;Antiperspirant/deodorant/astrin- gent
L261;ALUMINUM ZIRCONIUM PENTACHLOROHYDREX GLY;;;125913-22-6;;Complex reaction product obtained from the reaction of aluminium zirconium pentachlorohydrate (Al8Zr(OH) 23Cl5.xH2O) and glycine;III/1,50;Antiperspirant/deodorant/astrin- gent
L262;ALUMINUM ZIRCONIUM TETRACHLOROHYDRATE;;;98106-52-6;308-573-1;Tetraaluminium zirconium tetrachloride dodecahydroxide;III/1,50;Antiperspirant/deodorant/astrin- gent
L263;ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY;;;134910-86-4;;Complex reaction products obtained from the reaction of aluminium zirconium tetrachlorohydrate (Al8Zr(OH)12Cl4. xH2O) and glycine;III/1,50;Antiperspirant/deodorant/astrin- gent
L264;ALUMINUM ZIRCONIUM TETRACHLOROHYDREX PEG;;;246867-10-7;;Zirconium, chloro hydroxy polyethylene glycol, aluminium complexes. Co-ordination complex prepared from the reaction of aluminium zirconium chloride hydroxide (Al4ZrCl4(OH)12) and polyethylene glycol;III/1,50;Deodorant
L265;ALUMINUM ZIRCONIUM TETRACHLOROHYDREX PG;;;235433-35-9;;Aluminium zirconium chloride hydroxide, Al4ZrCl4(OH) 12,  reaction products with  propylene  glycol;III/1,50;Deodorant
L266;ALUMINUM ZIRCONIUM TRICHLOROHYDRATE;;;98106-53-7;308-574-7;Tetraaluminium zirconium trichloride tridecahydroxide;III/1,50;Antiperspirant/deodorant/astrin- gent
L267;ALUMINUM ZIRCONIUM TRICHLOROHYDREX  GLY;;;134375-99-8;;Complex reaction product obtained from the reaction of aluminium zirconium trichlorohydrate (Al8Zr(OH)13Cl3. xH2O) with glycine;III/1,50;Antiperspirant/deodorant/astrin- gent
L268;ALUMINUM/MAGNESIUM HYDROXIDE  STEARATE;;;;;Aluminum  magnesium  hydroxide  and stearic acid;;Emulsion stabilising
L269;AMARANTHUS CAUDA- TUS EXTRACT;;;223747-79-3;;Amaranthus Caudatus Extract is an extract of the seeds of Amaranthus  caudatus,  Amaranthaceae;;Skin conditioning
L270;AMINO BISPROPYL DIMETHICONE;;;243842-22-0;;;;Emulsifying/hair conditioning
L271;AMINO BISPROPYL DIMETHICONE;;;;;1,1'-iminobis(3-(tris(trimethylsiloxy)silyl)propane;;Emulsifying/hair conditioning
L272;4-AMINO-3-NITROPHE- NOL;;;610-81-1;210-236-8;4-amino-3-nitrophenol;;Hair dyeing
L273;5-AMINO-4-FLUORO-2- METHYLPHENOL SULFATE;;;163183-01-5;;Phenol, 5-amino-4-fluoro-2-methyl-, sulfate (2: 1)   (salt);;Hair dyeing
L274;2-AMINOBUTANOL;;;96-20-8;202-488-2;2-aminobutan-1-ol;;Buffering
L275;AMINOBUTYRIC ACID;;;56-12-2;200-258-6;4-aminobutyric  acid;;Hair conditioning
L276;2-AMINO-6-CHLORO-4- NITROPHENOL;;;1628499;228-762-1;2-amino-6-chloro-4-nitrophenol;;Hair dyeing
L277;5-AMINO-6-CHLORO-O- CRESOL;;;84540-50-1;283-144-9;3-amino-2-chlor-6-methylphenol;;Antimicrobial/hair dyeing
L278;5-AMINO-2,6- DIMETHOXY-3-HYDROXY- PYRIDINE;;;104333-03-1;;3-pyridinol,  2,6-dimethoxy-5-amino-;;Hair dyeing
L279;AMINOETHANESULFINIC ACID;;;300-84-5;;Ethanesulfinic acid, 2-amino-;;Reducing
L280;AMINOETHYL PROPANE- DIOL;;;115-70-8;204-101-2;2-amino-2-ethylpropanediol;;Buffering
L281;AMINOETHYL SULFATE;;;926-39-6;213-135-7;2-aminoethyl hydrogen sulphate;;Surfactant
L282;AMINOETHYLACRYLATE PHOSPHATE/ACRYLATES COPOLYMER;;;57450-97-2;;2-propenoic acid, 2-aminoethyl ester, polymer with 1,2- propanediol mono-2-propenoate, phosphate (salt);;Antistatic/film forming
L283;2-AMINO-4-HYDRO- XYETHYLAMINOANISOLE;;;83763-47-7;280-733-2;2-[(3-amino-4-methoxyphenyl)amino]ethanol;;Hair dyeing
L284;2-AMINO-4-HYDRO- XYETHYLAMINOANISOLE SULFATE;;;83763-48-8;280-734-8;(3-ammonio-4-methoxyphenyl)(2-hydroxyethyl)ammonium sulphate;;Hair dyeing
L285;2-AMINO-3-HYDROXY- PYRIDINE;;;16867-03-1;240-886-8;2-aminopyridin-3-ol;;Hair dyeing
L286;4-AMINO-2-HYDROXYTO- LUENE;;;2835-95-2;220-618-6;5-amino-o-cresol;;Hair dyeing
L287;4-AMINO-M-CRESOL;;;2835-99-6;220-621-2;4-amino-m-cresol;;Hair dyeing
L288;6-AMINO-M-CRESOL;;;2835-98-5;220-620-7;6-amino-m-cresol;;Hair dyeing
L289;AMINOMETHYL PROPA- NEDIOL;;;115-69-5;204-100-7;2-amino-2-methylpropane-1,3-diol;;Buffering
L290;AMINOMETHYL PROPA- NOL;;;124-68-5;204-709-8;2-amino-2-methylpropanol;;Buffering
L291;2-AMINOMETHYL-P-AMI- NOPHENOL HCL;;;135043-64-0;;Phenol,  2-aminomethyl-4-amino-,  dihydrochloride;;Hair dyeing
L292;4-AMINO-2-NITRODIPHE- NYLAMINE-2'-CAR- BOXYLIC ACID;;;117907-43-4;;1,4-Benzenediamine,  2-nitro-N(1)-(2-carboxyphenyl)-;;Hair dyeing
L293;2-AMINO-3-NITROPHE- NOL;;;603-85-0;210-060-1;2-amino-3-nitrophenol;;Hair dyeing
L294;6-AMINO-O-CRESOL;;;17672-22-9;;Phenol,  6-amino-2-methyl-;;Hair dyeing
L295;O-AMINOPHENOL SUL- FATE;;;67845-79-8;;Phenol, 2-amino-, sulfate (2: 1)  (salt);;Hair dyeing
L296;3-AMINOPROPANE SUL- FONIC ACID;;;3687-18-1;222-977-4;3-aminopropane-1-sulphonic   acid;;Surfactant/hydrotrope
L297;AMINOPROPYL LAURYL- GLUTAMINE;;;221389-16-8;;L-Glutamine,  N2-(3-aminopropyl)- N2-dodecyl-;;Antistatic/surfactant/hair condi- tioning
L298;AMINOTRIAZINE PEN- TANE CARBOXAMIDE MIPA;;;;;5-(2-Amino-1,3,5-triazin-4-yl)pentanamide, reaction pro- ducts with 2-hydroxypropylamine;;Skin conditioning
L299;AMINOTRIMETHYLENE PHOSPHONIC ACID;;;6419-19-8;229-146-5;Nitrilotrimethylenetris(phosphonic  acid);;Chelating
L300;AMMI VISNAGA EXTRACT;;;84695-96-5;283-61-64;Ammi Visnaga Extract is an extract of fruits and stems of Ammi visnaga, Umbelliferae;;Skin conditioning
L301;AMMONIA;ammonia solution;;7664-41-7;231-635-3;Ammonia, anhydrous;III/1,4;Buffering
L302;AMMONIUM ACETATE;;;631-61-8;211-162-9;Ammonium acetate;;Buffering
L303;AMMONIUM ACRYLATES COPOLYMER;;;;;;;Antistatic/binding/film forming/ viscosity controlling
L304;AMMONIUM ACRYLATES/ ACRYLONITROGENS COPOLYMER;;;;;2-Propenenitrile,  hydrolyzed,  ammonium salts;;Film  forming/viscosity controlling
L305;AMMONIUM ALGINATE;;;9005-34-9;;Alginic  acid, ammonium salt;;Binding/film forming/viscosity controlling
L306;AMMONIUM ALUM;alum, ammonium;;7784-25-0;232-055-3;Aluminium ammonium bis(sulphate);;Antiperspirant
L307;AMMONIUM BENZOATE;;;1863-63-4;217-468-9;Ammonium benzoate;VI/1,1;Preservative
L308;AMMONIUM BICARBO- NATE;;;1066-33-7;213-911-5;Ammonium hydrogencarbonate;;Buffering
L309;AMMONIUM  BISULFITE;;;10192-30-0;233-469-7;Ammonium hydrogensulphite;VI/1,9;Preservative
L310;AMMONIUM C9-10 PER- FLUOROALKYLSULFO- NATE;;;;;C9-C10 alkanes, perfluoro-, sulfonic acid, ammonium    salts;;Surfactant
L311;AMMONIUM C12-15 ALKYL  SULFATE;;;68815-61-2;272-385-5;Sulfuric acid, mono-C12-15-alkyl esters, ammonium   salts;;Surfactant/cleansing/foaming
L312;AMMONIUM C12-15 PAR- ETH SULFATE;;;125301-89-5;;Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C12-15-alkyl ethers (1-4 mol EO average molar   ratio);;Surfactant/foaming/cleansing
L313;AMMONIUM C12-16 ALKYL  SULFATE;;;90583-12-3;292-210-6;Sulfuric  acid,  mono-C12-16-alkyl  esters, ammonium salts;;Surfactant/cleansing/foaming
L314;AMMONIUM CAPRYLETH SULFATE;;;52286-18-7;;Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(octyloxy)-, ammonium  salt  (1-4 mol  EO average molar ratio);;Surfactant/foaming/cleansing
L315;AMMONIUM CAPRYLETH- 3 SULFATE;;;52286-18-7;;Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-(octyloxy)-, ammonium salt (3 mol EO average molar    ratio);;Surfactant/cleansing/foaming
L316;AMMONIUM  CARBAMATE;;;1111-78-0;214-185-2;Carbamic  acid,  ammonium salt;;Buffering
L317;AMMONIUM CARBONATE;;ammonii carbonas;10361-29-2;233-786-0;Ammonium carbonate;;Buffering
L318;AMMONIUM CASEINATE;;;9005-42-9;;Casein, ammonium salt;;Antistatic
L319;AMMONIUM CHLORIDE;ammonium chloride;ammonii  chloridum;12125-02-9;235-186-4;Ammonium chloride;;Buffering/viscosity controlling
L320;AMMONIUM COCOMO- NOGLYCERIDE SULFATE;;;61789-03-5;;Glycerides, coco mono-, sulfated, ammonium   salts;;Surfactant/cleansing/foaming
L321;AMMONIUM COCO-SUL- FATE;;;90989-98-3;292-758-6;Sulfuric acid, coco alkyl mono-ester, ammonium   salt;;Surfactant/foaming/cleansing
