codedName;INCI_name;INN name;Ph. Eur. Name;CAS;EC_No;IUPAC_Name;Restriction;Function
L7082;SUNFLOWER SEED OIL GLYCERIDES;;;91723-16-9;294-520-7;Glycerides, sunflower-oil mono-, di- and   tri-;;Emollient/emulsifying/skin condi- tioning
L7083;SUNSET YELLOW;;;2783-94-0;220-491-7;Disodium 6-hydroxy-5-[(4-sulphonatophenyl)azo]naphtha- lene-2-sulphonate (CI 15985);;Hair dyeing
L7084;SUPEROXIDE  DISMUTASE;;;9054-89-1;232-943-0;Dismutase, superoxide;;Antioxidant
L7085;SUS EXTRACT;;;91081-63-9;293-670-0;Sus Extract is an extract from the skin of    the pig (Sus);;Skin conditioning
L7086;SUTILAINS;;;12211-28-8;235-390-3;Proteinase, Bacillus subtilis, sutilains;;Keratolytic
L7087;SWERTIA CHIRATA EXTRACT;;;;;Swertia Chirata Extract is an extract of the flowers, leaves and stems of  the swertia, Swertia chirata,   Gentianaceae;;Astringent
L7088;SWERTIA JAPONICA EXTRACT;;;94167-11-0;303-410-0;Swertia Japonica Extract is an extract of the herb Swertia japonica, Gentianaceae;;Skin conditioning
L7089;SYMPHYTUM OFFICINALE EXTRACT;;;84696-05-9;283-625-3;Symphytum Officinale Extract is an extract of the rhizomes and roots of the comfrey, Symphytum officinale, Boragina- ceae;;Soothing/antidandruff
L7090;SYMPHYTUM OFFICINALE LEAF EXTRACT;;;84696-05-9;283-625-3;Symphytum Officinale Leaf Extract is an extract of the leaves of the comfrey, Symphytum officinale,  Borraginaceae;;Skin conditioning
L7091;SYMPHYTUM OFFICINALE LEAF POWDER;;;;;Symphytum Officinale Leaf Powder is a powder of finely ground leaves from the comfrey, Symphytum officinale, Borraginaceae;;Abrasive
L7092;SYNTHETIC BEESWAX;;;71243-51-1;275-286-5;Beeswax, synthetic. The complex reaction product of  blended acids and blended alcohols which simulates the composition of natural beeswax. It consists primarily of C18-30-alkyl ester of C16-32 fatty acids, C16-32 fatty acids and  C22-34 alkanes;;Binding/emulsion stabilising/visc- osity controlling
L7093;SYNTHETIC CANDELILLA WAX;;;;;Waxes, candelilla, synthetic;;Emollient/emulsion stabilising
L7094;SYNTHETIC  CARNAUBA;;;;;Waxes, carnauba, synthetic;;Emollient/emulsion stabilising
L7095;SYNTHETIC FLUORPHLO- GOPITE;;;;;;;Viscosity controlling
L7096;SYNTHETIC JAPAN WAX;;;;;Waxes, japan, synthetic;;Emollient/emulsion stabilising
